artist, title, info, tags
Neutral Milk Hotel, In The Aeroplane Over The Sea,,/mu/core
Radiohead, Kid A,,/mu/core
My Bloody Valentine, Loveless,shoegaze,,/mu/core
Animal Collective, Merriweather Post Pavillion,,/mu/core
Talking Heads, Remain in Light,,/mu/core
Slint, Spiderland,,/mu/core
King Krimson, In the Court of the Crimson King,,/mu/core
GY!BE, Lift your Skinny Fists Like Anthenas To Heaven,,/mu/core
Kanye West, My Beautiful Dark Twisted Fantasy,,/mu/core
Death Grips, The Money Store,,/mu/core
American Football, American Football,,/mu/core
Captain Beefheart & His Magic Band, Trout Mask Replica,,/mu/core
Swans, Soundtracks for the Blind,,/mu/core
The Beach Boys, Pet Sounds,,/mu/core
The Velvet Underground, The Velvet Underground & Nico,,/mu/core
radiohead, ok computer,,/mu/core
radiohead, in rainbows,,/mu/core
have a nice life, deathconciousness,,/mu/core
sigur ros, agaetis byrjun,,/mu/core
GY!BE, F#A#infinity,,/mu/core
talk talk, laughing stock,,/mu/core
slowdive, souvlaki,,/mu/core
Björk, Homogenic,,/mu/core 1997 art_pop electronic_music electronica elektra experimental glitch icelandic one_little_indian trip_hop
nirvana, nevermind,,/mu/core
nirvana, in utero,,/mu/core
elliot smith, Either/Or,,/mu/core
Jeff Buckley, Grace,,/mu/core
The Smashing Pumpkins, Siamese Dream,,/mu/core
Pavement, Slanted & Enchanted,,/mu/core
Grimes, Visions,,/mu/core
the Flaming Lips, the soft bulletin,,/mu/core
Modest Mouse, the lonesome crowded west,,/mu/core
modest mouse, the moon & antartica,,/mu/core
weezer, weezer,,/mu/core
weezer, pinkerton,,/mu/core
Nine inch nails, the downward spiral,,/mu/core
xiu xiu, a promise,,/mu/core
built to spill, perfect from now on,sub-/mu/core,,/mu/core
les realizes denudes, 77 'live,,/mu/core
yo la tengo, i can hear the heart beating as one,,/mu/core
the magnetic fields, 69 love songs,,/mu/core
fugazi, repeater,,/mu/core
cardiacs, sing to god,sub-/mu/core,,/mu/core
red house painters, Down colorful hill,sub-/mu/core,,/mu/core
codeine, frigin stars,sub-/mu/core,,/mu/core
low, i could live in hope,,/mu/core
macintosh plus, floral shoppe,,/mu/core
duster, stratosphere,,/mu/core
lisa germano, geek the girl,,/mu/core
giles corey, giles corey ,sub-/mu/core,,/mu/core
royal trux, twin infinities,,/mu/core
at the dive in, relationship of command,,/mu/core
drive like jehu, yank crime,,/mu/core
unwound, leaves turn inside you,,/mu/core
Cap'n Jazz, Analphabetapolothology,,/mu/core
beck, sea change,,/mu/core
jim o'rourke, eureka,,/mu/core
james blacke, james blake,,/mu/core
the dismemberment plan, emergency & i,,/mu/core
sweet trip, velicity : design confort,,/mu/core
Brand New, The Devil and God Are Raging Inside Me,,/mu/core 2006 alternative_rock emo interscope post-hardcore procastinate!_music_traitors tiny_evil
portishead, dummy,,/mu/core
death grips, exmilitary,,/mu/core
death grips, no love deep web,,/mu/core
joanna newson, ys,,/mu/core
joanna newson, have one on me,,/mu/core
The Strokes, Is This It,,/mu/core 2001 garage_rock_revival gordon_raphael indie_rock post_punk_revival RCA_Records Rough_trade_records the_strokes
candy claws, ceres & calypso in the deep time,,/mu/core
