artist, title, info, tags
Julian 'Cannonball' Adderley, Somethin' Else ,,[58; Blue Note]
Air, Air Time ,,[77; Nessa]
Jan Allan, Jan Allan - 70 ,,[68-69]
Mose Allison, The Word From Mose ,,[64; Atlantic]
Amalgam, Prayer for Peace ,,[69; FMR]				
Louis Armstrong, The Hot Fives & Sevens ,,[25-30; JSP; 4CD]
Louis Armstrong, The Complete Hot Five and Hot Seven Recordings ,,[25-30; Columbia; 4CD]
Louis Armstrong, The Complete New York Town Hall and Boston Symphony Concerts ,,[47; Fresh Sound] 
Louis Armstrong, The Complete RCA Victor Recordings ,,[32-56, Bluebird; 4CD]
Art Ensemble of Chicago, Art Ensemble 1967-68 ,,[Nessa; 5CD]
Albert Ayler, Spiritual Unity ,,[64; ESP]
Chris Barber, The Complete Decca Sessions 1954/55 ,,[Lake]
Count Basie, The Original American Decca Recordings ,,[37-39; MCA; 3CD]
Count Basie, The Complete Atomic Mr Basie ,,[57; Roulette]
Sidney Bechet, Shake 'Em Up ,,[38-47; Avid; 2CD]
Sidney Bechet, Sidney Bechet, 1947-1949 ,,[Classics]
Bix Beiderbecke, Bix and Tram ,,[26-29; JSP; 4CD]
Ran Blake, The Short Life of Barbara Monk ,,[86; Soul Note]
Ran Blake, All That Is Tied ,,[03; Tompkins Square]				
Art Blakey, A Night at Birdland Vol. 1 ,,[54; Blue Note]
Art Blakey, A Night at Birdland Vol. 2 ,,[54; Blue Note]
Art Blakey, Art Blakey's Jazz Messengers With Thelonious Monk ,,[57; Atlantic/Rhino]				
Paul Bley, Time Will Tell ,,[94; ECM]
Arthur Blythe, Lenon Avenue Breakdown ,,[79; Koch]
Don Braden, After Dark ,,[93; Criss Cross] 
Ruby Braff, Calling Berlin, Volume 1 ,,[94; Arbors]
Anthony Braxton, For Alto ,,[68; Delmark]				
Anthony Braxton, Eugene (1989) ,,[Black Saint]
Bob Brookmeyer, New Works/Celebration ,,[97; Challenge] 
Peter Brötzmann, Machine Gun ,,[68; FMP]
Clifford Brown, The Complete Blue Note and Pacific Jazz Recordings ,,[53-54; Blue Note; 4CD]
Dave Brubeck, Time Out ,,[59; Columbia]
Kenny Burrell, Ellington Is Forever Vol. 1 ,,[75; Fantasy]
Gary Burton, Hotel Hello ,,[74; ECM]
Benny Carter, Further Definitions ,,[61-66; Impulse]
Betty Carter, The Audience With Betty Carter ,,[79; Verve; 2CD]				
Oscar 'Papa' Celestin, Papa Celestin & Sam Morgan ,,[25-28; Azure]				
Serge Chaloff, Blue Serge ,,[56; Blue Note]
Teddy Charles, The Teddy Charles Tentet ,,[56; Collectables]
June Christy, Something Cool The Complete Mono and Stereo Versions ,,[53-60; Capitol]				
Nat Cole, After Midnight ,,[56; Capitol]
Ornette Coleman, Beauty Is a Rare Thing ,,[59-61; Atlantic; 6CD]
Ornette Coleman, At the Golden Circle Stockholm Volume 1 ,,[65; Blue Note]
Ornette Coleman, At the Golden Circle Stockholm Volume 2 ,,[65; Blue Note]
Graham Collier, Hoarded Dreams ,,[83; Cuneiform] 
John Coltrane, Giant Steps ,,[59; Atlantic]
John Coltrane, A Love Supreme ,,[64; Impulse]
John Coltrane, Ascension ,,[65; Impulse]				
Ken Colyer, Club Session With Colyer ,,[56; Lake]
Eddie Condon, Eddie Condon 1927-1938 ,,[Classics]
Chris Connor, Chris Connor ,,[56; Atlantic]
Sonny Criss, Sonny's Dream ,,[68; OJC]
Eddie 'Lockjaw' Davis Very Saxy ,,[59; OJC]
Miles Davis, Milestones ,,[58; Columbia]
Miles Davis, Kind of Blue ,,[59; Columbia]
Miles Davis, The Complete Live at the Plugged Nickel ,,[65; Columbia; 8CD]				
Miles Davis, Miles Davis and Gil Evans The Complete Columbia Studio Recordings ,,[57-68; Columbia; 6CD]				
Miles Davis, In a Silent Way ,,[69; Columbia]
Vic Dickenson, Nice Work ,,[53; Vanguard] 
Vic Dickenson, The Essential Vic Dickenson ,,[54; Vanguard] 
Vic Dickenson, Gentleman of the Trombone ,,[75; Storyville]
Eric Dolphy, Out to Lunch ,,[64; Blue Note]
Arne Domnerus, Face to Face ,,[99; Dragon]
Kenny Dorham, 'Round About Midnight at the Café Bohemia ,,[56; Blue Note; 2CD]
Dave Douglas, Convergence ,,[98; Soul Note]
Roy Eldridge, Heckler's Hop ,,[36-39; Hep]
Duke Ellington, Never No Lament ,,[40-42; Bluebird; 3CD]
Duke Ellington, The Duke at Fargo 1940 ,,[Storyville]				
Duke Ellington, Ellington at Newport 1956 (Complete) ,,[Columbia; 2CD]
Duke Ellington, New Orleans Suite ,,[70; Atlantic]
Bill Evans, Sunday Night at the Village Vanguard ,,[61; OJC]				
Bill Evans, Waltz for Debby ,,[61; OJC]				
BIll Evans, The Complete Live at the Village Vanguard 1961 ,,[Riverside; 3CD]
Gil Evans, Out of the Cool ,,[60; Impulse]
Art Farmer, Portrait of Art ,,[58; OJC] 
Art Farmer, Blame It on My Youth ,,[88; Contemporary]				
Ella Fitzgerald, The Cole Porter Songbook ,,[56; Verve; 2CD]
Chico Freeman, Destiny's Dance ,,[81; OJC]
Bill Frisell, Have a Little Faith ,,[93; Elektra Nonesuch]
Ganelin Trio, Ancora Da Capo ,,[80; Leo]				
Jan Garbarek, Dis ,,[76; ECM]
Erroll Garner, Concert by the Sea ,,[55; Columbia]
Charles Gayle, Touchin' on Trane ,,[91; FMP]
Stan Getz, The Complete Roost Recordings ,,[50-54; Roulette; 3CD]				
Stan Getz, Focus ,,[61; Verve]
Dizzy Gillespie, The Complete RCA Victor Recordings ,,[37-49; RCA; 2CD]				
Dizzy Gillespie, Birks Works ,,[56-57; Verve; 2CD]
Jimmy Giuffre, Free Fall ,,[62; Columbia]				
Benny Goodman, At Carnegie Hall 1938 - Complete ,,[Columbia; 2CD]
Benny Goodman, The Complete Small Group Sessions ,,[35-39; RCA Victor; 3CD]
Dexter Gordon, Our Man in Paris ,,[63; Blue Note]
Stéphane Grappelli, Tivoli Gardens, Copenhagen, Denmark ,,[79; OJC]
Grant Green, The Complete Quartets With Sonny Clark ,,[61-62; Blue Note; 2CD]
Lars Gullin, Lars Gullin Vol. 2 1953 ,,[Dragon]
Lars Gullin, Danny's Dream ,,[53-55; Dragon]
Charlie Haden, Beyond the Missouri Sky ,,[96; Verve]
Al Haig, The Al Haig Trio Esoteric ,,[54; Fresh Sound]				
Jim Hall, Concierto ,,[75; CTI]
Scott Hamilton, Plays Ballads ,,[89; Concord]
Lionel Hampton, Lionel Hampton 1937-1938 ,,[Classics]
Herbie Hancock, Maiden Voyage ,,[65; Blue Note]				
Herbie Hancock, Head Hunters ,,[73; Columbia]
Tom Harrell, Labyrinth ,,[96; RCA Victor]
Barry Harris, Magnificent! ,,[69; OJC]
Steve Harris & Zaum, Above Our Heads the Sky Splits Open ,,[04; Slam]				
Coleman Hawkins, Body and Soul ,,[39-49; Dreyfus]
Coleman Hawkins, The Stanley Dance Sessions ,,[55-58; Lonehill Jazz]
Julius Hemphill, Flat-Out Jump Suite ,,[80; Black Saint]
Joe Henderson, The State of the Tenor Volumes One and Two ,,[85; Blue Note; 2CD]
Woody Herman, Blowin' Up a Storm ,,[45-47; Columbia; 2CD]
Woody Herman, Jazz Hoot/Woody's Winners ,,[65-67; Collectables]				
Andrew Hill, Point of Departure ,,[64; Blue Note]
Andrew Hill, Andrew!!! ,,[64; Blue Note]
Earl Hines, Earl Hines Plays Duke Ellington ,,[71-75; New World; 2CD]
Earl Hines, Earl Hines Plays Duke Ellington Vol. 2 ,,[71-74; New World]
Billie Holiday, Lady Day Swings! ,,[35-39; Columbia]
Dave Holland, Conference of the Birds ,,[72; ECM]
Noah Howard, The Black Ark ,,[69; Bo'Weavil] 
Freddie Hubbard, Open Sesame ,,[60; Blue Note]
Dick Hyman, Forgotten Dreams ,,[01; Arbors]
Abdullah Ibrahim, Yarona ,,[95; Tiptoe]
Ahmad Jamal, Cross Country Tour, 1958-1961 ,,[Chess]
Ahmad Jamal, At the Pershing ,,[58; Chess] 
Keith Jarrett, The Köln Concert ,,[75; ECM; 2CD]
Bunk Johnson, Bunk's Brass Band and Dance Band 1945 ,,[American Music]
J.J. Johnson, The Eminent Jay Jay Johnson, Volume 1 ,,[53-55; Blue Note]
J.J. Johnson, The Eminent Jay Jay Johnson, Volume 2 ,,[53-55; Blue Note]
Thad Jones, Consummation ,,[70; Blue Note]
Louis Jordan, Louis Jordan & His Tympany Five ,,[38-50; JSP] 
Sheila Jordan, Portrait of Sheila ,,[62; Blue Note]
Stan Kenton, City of Glass ,,[47-53; Capitol]
Rahsaan Roland Kirk, Rip, Rig and Panic/Now Please Don't You Cry, Beautiful Edith ,,[65-67; Emarcy]
Rahssan Roland Kirk, A Meeting of the Times ,,[72; Atlantic]				
Krzysztof Komeda, Astigmatic ,,[65; Harkit]				
Lee Konitz, With Warne Marsh ,,[55; Warner Bros] 
Lee Konitz, Motion ,,[61; Verve]
Peter Kowald, Was Da Ist ,,[94; FMP]				
Steve Lacy, 5 x Monk x Lacy ,,[94; Silkheart]
